Location,Reports,Internet,Phone,Wi-fi,TotalBlackout,TV,E-mail,Status,Provider,Source,Date collected,Time collected
"Dallas, TX",269,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Tampa, FL",228,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Los Angeles, CA",196,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Chicago, IL",119,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Seattle, WA",112,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Portland, OR",106,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Orlando, FL",80,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Atlanta, GA",44,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Indianapolis, IN",35,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Mesquite, TX",34,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"New York City, NY",32,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Norwalk, CA",32,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Brooklyn, NY",32,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Arlington, TX",31,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Miami, FL",31,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Washington, D.C., DC",31,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Fort Worth, TX",31,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Riverview, FL",29,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Sarasota, FL",29,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Riverside, CA",26,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Garland, TX",26,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Allen, TX",26,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Irving, TX",26,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Santa Ana, CA",25,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Fort Wayne, IN",25,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Detroit, MI",23,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Fort Lauderdale, FL",23,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Philadelphia, PA",22,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Plano, TX",21,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
"Lakeland, FL",20,70.64%,10.49%,7.78%,4.31%,3.81%,2.96%,  Problems detected ,Frontier,Is the service down,Tue 23 Jul 2019,13:10:32
