Location,Reports,Phone,Internet,TotalBlackout,E-mail,Wi-fi,Status,Provider,Source,Date collected,Time collected
"Manitowoc, WI",12,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Cedar Rapids, IA",7,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"De Witt, IA",4,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Madison, WI",4,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Des Moines, IA",3,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Camanche, IA",3,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Rumford, ME",3,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Berkeley Springs, WV",3,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Grants Pass, OR",3,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Milwaukee, WI",3,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Clinton, IA",2,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Bettendorf, IA",2,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"La Crosse, WI",2,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Waterloo, IA",2,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Pella, IA",2,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Urbandale, IA",2,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Asheville, NC",2,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Ottumwa, IA",2,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Monroe, WI",1,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"New London, NH",1,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Eugene, OR",1,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Joplin, MO",1,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Beaver Dam, WI",1,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Springfield, OR",1,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"McAlester, OK",1,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Dixon, IA",1,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Alexandria, VA",1,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Orlando, FL",1,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Robersonville, NC",1,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
"Cecil, WI",1,54.55%,25.45%,12.73%,5.45%,1.82%,  No problems detected ,US-cellular,Is the service down,Tue 23 Jul 2019,13:10:32
